"Age","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
22,6.48e-05,8.9e-05,0.0001186,0.0001527,0.0001882,0.0002205,0.0002452,0.0002565,0.0002606,0.0002921,0.000266,0.000242,0.0002614,0.0002621,0.0002529,0.0002401,0.000226,0.0002118,0.0001997,0.0001851,0.0001606,0.0001364,0.0001228,0.0001218,0.0001242,0.0001282,0.0001327,0.0001366,0.0001425,0.0001495,0.00016,0.0001713,0.0001661,0.0001568,0.0001565,0.0001482,0.0001416,0.0001384,0.0001376,0.0001243,0.0001128,0.000103,9.07e-05,7.68e-05,6.39e-05,5.23e-05
23,6.48e-05,8.9e-05,0.0001186,0.0001527,0.0001882,0.0002205,0.0002452,0.0002565,0.0002606,0.0002921,0.000266,0.000242,0.0002614,0.0002621,0.0002529,0.0002401,0.000226,0.0002118,0.0001997,0.0001851,0.0001606,0.0001364,0.0001228,0.0001218,0.0001242,0.0001282,0.0001327,0.0001366,0.0001425,0.0001495,0.00016,0.0001713,0.0001661,0.0001568,0.0001565,0.0001482,0.0001416,0.0001384,0.0001376,0.0001243,0.0001128,0.000103,9.07e-05,7.68e-05,6.39e-05,5.23e-05
24,6.48e-05,8.9e-05,0.0001186,0.0001527,0.0001882,0.0002205,0.0002452,0.0002565,0.0002606,0.0002921,0.000266,0.000242,0.0002614,0.0002621,0.0002529,0.0002401,0.000226,0.0002118,0.0001997,0.0001851,0.0001606,0.0001364,0.0001228,0.0001218,0.0001242,0.0001282,0.0001327,0.0001366,0.0001425,0.0001495,0.00016,0.0001713,0.0001661,0.0001568,0.0001565,0.0001482,0.0001416,0.0001384,0.0001376,0.0001243,0.0001128,0.000103,9.07e-05,7.68e-05,6.39e-05,5.23e-05
25,0.0002512,0.0003478,0.0004727,0.0006281,0.0008065,0.0009941,0.001181,0.0013509,0.0014881,0.0017436,0.0016338,0.0015695,0.0017479,0.0017838,0.0017734,0.0017556,0.0016659,0.0015745,0.0014604,0.0012769,0.0009864,0.0007165,0.0005461,0.0004516,0.0003839,0.000332,0.000288,0.0002519,0.0002288,0.0002148,0.0002081,0.0002043,0.000184,0.0001639,0.0001605,0.0001488,0.0001411,0.0001378,0.0001388,0.0001226,0.0001095,0.000102,9.61e-05,9.05e-05,8.51e-05,7.96e-05
26,0.0002512,0.0003478,0.0004727,0.0006281,0.0008065,0.0009941,0.001181,0.0013509,0.0014881,0.0017436,0.0016338,0.0015695,0.0017479,0.0017838,0.0017734,0.0017556,0.0016659,0.0015745,0.0014604,0.0012769,0.0009864,0.0007165,0.0005461,0.0004516,0.0003839,0.000332,0.000288,0.0002519,0.0002288,0.0002148,0.0002081,0.0002043,0.000184,0.0001639,0.0001605,0.0001488,0.0001411,0.0001378,0.0001388,0.0001226,0.0001095,0.000102,9.61e-05,9.05e-05,8.51e-05,7.96e-05
27,0.0002512,0.0003478,0.0004727,0.0006281,0.0008065,0.0009941,0.001181,0.0013509,0.0014881,0.0017436,0.0016338,0.0015695,0.0017479,0.0017838,0.0017734,0.0017556,0.0016659,0.0015745,0.0014604,0.0012769,0.0009864,0.0007165,0.0005461,0.0004516,0.0003839,0.000332,0.000288,0.0002519,0.0002288,0.0002148,0.0002081,0.0002043,0.000184,0.0001639,0.0001605,0.0001488,0.0001411,0.0001378,0.0001388,0.0001226,0.0001095,0.000102,9.61e-05,9.05e-05,8.51e-05,7.96e-05
28,0.0002512,0.0003478,0.0004727,0.0006281,0.0008065,0.0009941,0.001181,0.0013509,0.0014881,0.0017436,0.0016338,0.0015695,0.0017479,0.0017838,0.0017734,0.0017556,0.0016659,0.0015745,0.0014604,0.0012769,0.0009864,0.0007165,0.0005461,0.0004516,0.0003839,0.000332,0.000288,0.0002519,0.0002288,0.0002148,0.0002081,0.0002043,0.000184,0.0001639,0.0001605,0.0001488,0.0001411,0.0001378,0.0001388,0.0001226,0.0001095,0.000102,9.61e-05,9.05e-05,8.51e-05,7.96e-05
29,0.0002512,0.0003478,0.0004727,0.0006281,0.0008065,0.0009941,0.001181,0.0013509,0.0014881,0.0017436,0.0016338,0.0015695,0.0017479,0.0017838,0.0017734,0.0017556,0.0016659,0.0015745,0.0014604,0.0012769,0.0009864,0.0007165,0.0005461,0.0004516,0.0003839,0.000332,0.000288,0.0002519,0.0002288,0.0002148,0.0002081,0.0002043,0.000184,0.0001639,0.0001605,0.0001488,0.0001411,0.0001378,0.0001388,0.0001226,0.0001095,0.000102,9.61e-05,9.05e-05,8.51e-05,7.96e-05
30,0.0003597,0.0005014,0.0006871,0.0009249,0.0012131,0.0015405,0.0019013,0.0022704,0.0026223,0.0032004,0.0032062,0.0032388,0.0037887,0.0040119,0.0041261,0.0041591,0.0041806,0.0040673,0.0039157,0.0035485,0.0028317,0.0020517,0.0015697,0.0012839,0.001075,0.0009148,0.0007738,0.0006484,0.0005568,0.0004874,0.0004374,0.0003933,0.0003297,0.0002769,0.0002556,0.000225,0.0002038,0.0001909,0.0001861,0.0001613,0.0001444,0.0001354,0.0001282,0.0001215,0.0001149,0.0001079
31,0.0003597,0.0005014,0.0006871,0.0009249,0.0012131,0.0015405,0.0019013,0.0022704,0.0026223,0.0032004,0.0032062,0.0032388,0.0037887,0.0040119,0.0041261,0.0041591,0.0041806,0.0040673,0.0039157,0.0035485,0.0028317,0.0020517,0.0015697,0.0012839,0.001075,0.0009148,0.0007738,0.0006484,0.0005568,0.0004874,0.0004374,0.0003933,0.0003297,0.0002769,0.0002556,0.000225,0.0002038,0.0001909,0.0001861,0.0001613,0.0001444,0.0001354,0.0001282,0.0001215,0.0001149,0.0001079
32,0.0003597,0.0005014,0.0006871,0.0009249,0.0012131,0.0015405,0.0019013,0.0022704,0.0026223,0.0032004,0.0032062,0.0032388,0.0037887,0.0040119,0.0041261,0.0041591,0.0041806,0.0040673,0.0039157,0.0035485,0.0028317,0.0020517,0.0015697,0.0012839,0.001075,0.0009148,0.0007738,0.0006484,0.0005568,0.0004874,0.0004374,0.0003933,0.0003297,0.0002769,0.0002556,0.000225,0.0002038,0.0001909,0.0001861,0.0001613,0.0001444,0.0001354,0.0001282,0.0001215,0.0001149,0.0001079
33,0.0003597,0.0005014,0.0006871,0.0009249,0.0012131,0.0015405,0.0019013,0.0022704,0.0026223,0.0032004,0.0032062,0.0032388,0.0037887,0.0040119,0.0041261,0.0041591,0.0041806,0.0040673,0.0039157,0.0035485,0.0028317,0.0020517,0.0015697,0.0012839,0.001075,0.0009148,0.0007738,0.0006484,0.0005568,0.0004874,0.0004374,0.0003933,0.0003297,0.0002769,0.0002556,0.000225,0.0002038,0.0001909,0.0001861,0.0001613,0.0001444,0.0001354,0.0001282,0.0001215,0.0001149,0.0001079
34,0.0003597,0.0005014,0.0006871,0.0009249,0.0012131,0.0015405,0.0019013,0.0022704,0.0026223,0.0032004,0.0032062,0.0032388,0.0037887,0.0040119,0.0041261,0.0041591,0.0041806,0.0040673,0.0039157,0.0035485,0.0028317,0.0020517,0.0015697,0.0012839,0.001075,0.0009148,0.0007738,0.0006484,0.0005568,0.0004874,0.0004374,0.0003933,0.0003297,0.0002769,0.0002556,0.000225,0.0002038,0.0001909,0.0001861,0.0001613,0.0001444,0.0001354,0.0001282,0.0001215,0.0001149,0.0001079
35,0.0004744,0.0006715,0.0009317,0.0012628,0.0016591,0.0021081,0.0026077,0.0031334,0.0036649,0.0045124,0.0046698,0.0048607,0.0058944,0.0063886,0.006776,0.0070483,0.0072114,0.0072961,0.0072793,0.0067176,0.005373,0.004051,0.0031268,0.0025653,0.0021541,0.0018597,0.0015557,0.0012957,0.0011014,0.0009469,0.0008233,0.0007013,0.0005574,0.0004506,0.0003953,0.0003234,0.000272,0.0002366,0.000214,0.0001705,0.0001433,0.0001287,0.0001179,0.0001092,0.0001019,9.6e-05
36,0.0004744,0.0006715,0.0009317,0.0012628,0.0016591,0.0021081,0.0026077,0.0031334,0.0036649,0.0045124,0.0046698,0.0048607,0.0058944,0.0063886,0.006776,0.0070483,0.0072114,0.0072961,0.0072793,0.0067176,0.005373,0.004051,0.0031268,0.0025653,0.0021541,0.0018597,0.0015557,0.0012957,0.0011014,0.0009469,0.0008233,0.0007013,0.0005574,0.0004506,0.0003953,0.0003234,0.000272,0.0002366,0.000214,0.0001705,0.0001433,0.0001287,0.0001179,0.0001092,0.0001019,9.6e-05
37,0.0004744,0.0006715,0.0009317,0.0012628,0.0016591,0.0021081,0.0026077,0.0031334,0.0036649,0.0045124,0.0046698,0.0048607,0.0058944,0.0063886,0.006776,0.0070483,0.0072114,0.0072961,0.0072793,0.0067176,0.005373,0.004051,0.0031268,0.0025653,0.0021541,0.0018597,0.0015557,0.0012957,0.0011014,0.0009469,0.0008233,0.0007013,0.0005574,0.0004506,0.0003953,0.0003234,0.000272,0.0002366,0.000214,0.0001705,0.0001433,0.0001287,0.0001179,0.0001092,0.0001019,9.6e-05
38,0.0004744,0.0006715,0.0009317,0.0012628,0.0016591,0.0021081,0.0026077,0.0031334,0.0036649,0.0045124,0.0046698,0.0048607,0.0058944,0.0063886,0.006776,0.0070483,0.0072114,0.0072961,0.0072793,0.0067176,0.005373,0.004051,0.0031268,0.0025653,0.0021541,0.0018597,0.0015557,0.0012957,0.0011014,0.0009469,0.0008233,0.0007013,0.0005574,0.0004506,0.0003953,0.0003234,0.000272,0.0002366,0.000214,0.0001705,0.0001433,0.0001287,0.0001179,0.0001092,0.0001019,9.6e-05
39,0.0004744,0.0006715,0.0009317,0.0012628,0.0016591,0.0021081,0.0026077,0.0031334,0.0036649,0.0045124,0.0046698,0.0048607,0.0058944,0.0063886,0.006776,0.0070483,0.0072114,0.0072961,0.0072793,0.0067176,0.005373,0.004051,0.0031268,0.0025653,0.0021541,0.0018597,0.0015557,0.0012957,0.0011014,0.0009469,0.0008233,0.0007013,0.0005574,0.0004506,0.0003953,0.0003234,0.000272,0.0002366,0.000214,0.0001705,0.0001433,0.0001287,0.0001179,0.0001092,0.0001019,9.6e-05
40,0.000423,0.0006026,0.0008422,0.0011541,0.0015383,0.0019852,0.0024961,0.0030375,0.0035756,0.0043988,0.0045557,0.0047438,0.0057163,0.0062565,0.0067275,0.0071264,0.0074449,0.0077062,0.0078852,0.0074171,0.0060376,0.0045381,0.0035672,0.0029737,0.0025357,0.0022287,0.0019932,0.0017141,0.0015058,0.0013366,0.0012063,0.0010536,0.0008731,0.0007347,0.0006691,0.0005689,0.0004874,0.0004258,0.0003778,0.0003004,0.0002474,0.0002131,0.0001861,0.0001638,0.0001459,0.0001316
