age,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
20,0.0001263,0.0001897,0.0002762,0.0003882,0.0005225,0.0006694,0.0008243,0.0009552,0.0010618,0.0013164,0.0011898,0.0011134,0.0012251,0.001239,0.0012047,0.0011601,0.001103,0.001034,0.0009612,0.0008419,0.0006546,0.0004846,0.0003797,0.0003279,0.0002949,0.0002711,0.0002532,0.0002498,0.0002427,0.0002359,0.0002334,0.0002376,0.00022,0.000201,0.0001884,0.0001719,0.0001684,0.0001647,0.0001548,0.0001524,0.0001304,0.0001132,9.99E-05,8.65E-05,7.45E-05,6.43E-05
21,0.0001263,0.0001897,0.0002762,0.0003882,0.0005225,0.0006694,0.0008243,0.0009552,0.0010618,0.0013164,0.0011898,0.0011134,0.0012251,0.001239,0.0012047,0.0011601,0.001103,0.001034,0.0009612,0.0008419,0.0006546,0.0004846,0.0003797,0.0003279,0.0002949,0.0002711,0.0002532,0.0002498,0.0002427,0.0002359,0.0002334,0.0002376,0.00022,0.000201,0.0001884,0.0001719,0.0001684,0.0001647,0.0001548,0.0001524,0.0001304,0.0001132,9.99E-05,8.65E-05,7.45E-05,6.43E-05
22,0.0001263,0.0001897,0.0002762,0.0003882,0.0005225,0.0006694,0.0008243,0.0009552,0.0010618,0.0013164,0.0011898,0.0011134,0.0012251,0.001239,0.0012047,0.0011601,0.001103,0.001034,0.0009612,0.0008419,0.0006546,0.0004846,0.0003797,0.0003279,0.0002949,0.0002711,0.0002532,0.0002498,0.0002427,0.0002359,0.0002334,0.0002376,0.00022,0.000201,0.0001884,0.0001719,0.0001684,0.0001647,0.0001548,0.0001524,0.0001304,0.0001132,9.99E-05,8.65E-05,7.45E-05,6.43E-05
23,0.0001263,0.0001897,0.0002762,0.0003882,0.0005225,0.0006694,0.0008243,0.0009552,0.0010618,0.0013164,0.0011898,0.0011134,0.0012251,0.001239,0.0012047,0.0011601,0.001103,0.001034,0.0009612,0.0008419,0.0006546,0.0004846,0.0003797,0.0003279,0.0002949,0.0002711,0.0002532,0.0002498,0.0002427,0.0002359,0.0002334,0.0002376,0.00022,0.000201,0.0001884,0.0001719,0.0001684,0.0001647,0.0001548,0.0001524,0.0001304,0.0001132,9.99E-05,8.65E-05,7.45E-05,6.43E-05
24,0.0001263,0.0001897,0.0002762,0.0003882,0.0005225,0.0006694,0.0008243,0.0009552,0.0010618,0.0013164,0.0011898,0.0011134,0.0012251,0.001239,0.0012047,0.0011601,0.001103,0.001034,0.0009612,0.0008419,0.0006546,0.0004846,0.0003797,0.0003279,0.0002949,0.0002711,0.0002532,0.0002498,0.0002427,0.0002359,0.0002334,0.0002376,0.00022,0.000201,0.0001884,0.0001719,0.0001684,0.0001647,0.0001548,0.0001524,0.0001304,0.0001132,9.99E-05,8.65E-05,7.45E-05,6.43E-05
25,0.0002269,0.0003478,0.0005163,0.0007433,0.0010284,0.0013622,0.0017363,0.0021336,0.0025274,0.0033021,0.0031809,0.0032947,0.0039097,0.0042098,0.0043253,0.0043733,0.004258,0.0041165,0.0039187,0.0034752,0.0026548,0.0018701,0.0013832,0.0011061,0.0009091,0.0007682,0.0006618,0.0005738,0.0004823,0.0004187,0.0003771,0.0003502,0.0003022,0.0002663,0.0002436,0.0002202,0.0002129,0.0002019,0.0001835,0.0001745,0.0001419,0.0001207,0.0001095,0.0001002,9.24E-05,8.56E-05
26,0.0002269,0.0003478,0.0005163,0.0007433,0.0010284,0.0013622,0.0017363,0.0021336,0.0025274,0.0033021,0.0031809,0.0032947,0.0039097,0.0042098,0.0043253,0.0043733,0.004258,0.0041165,0.0039187,0.0034752,0.0026548,0.0018701,0.0013832,0.0011061,0.0009091,0.0007682,0.0006618,0.0005738,0.0004823,0.0004187,0.0003771,0.0003502,0.0003022,0.0002663,0.0002436,0.0002202,0.0002129,0.0002019,0.0001835,0.0001745,0.0001419,0.0001207,0.0001095,0.0001002,9.24E-05,8.56E-05
27,0.0002269,0.0003478,0.0005163,0.0007433,0.0010284,0.0013622,0.0017363,0.0021336,0.0025274,0.0033021,0.0031809,0.0032947,0.0039097,0.0042098,0.0043253,0.0043733,0.004258,0.0041165,0.0039187,0.0034752,0.0026548,0.0018701,0.0013832,0.0011061,0.0009091,0.0007682,0.0006618,0.0005738,0.0004823,0.0004187,0.0003771,0.0003502,0.0003022,0.0002663,0.0002436,0.0002202,0.0002129,0.0002019,0.0001835,0.0001745,0.0001419,0.0001207,0.0001095,0.0001002,9.24E-05,8.56E-05
28,0.0002269,0.0003478,0.0005163,0.0007433,0.0010284,0.0013622,0.0017363,0.0021336,0.0025274,0.0033021,0.0031809,0.0032947,0.0039097,0.0042098,0.0043253,0.0043733,0.004258,0.0041165,0.0039187,0.0034752,0.0026548,0.0018701,0.0013832,0.0011061,0.0009091,0.0007682,0.0006618,0.0005738,0.0004823,0.0004187,0.0003771,0.0003502,0.0003022,0.0002663,0.0002436,0.0002202,0.0002129,0.0002019,0.0001835,0.0001745,0.0001419,0.0001207,0.0001095,0.0001002,9.24E-05,8.56E-05
29,0.0002269,0.0003478,0.0005163,0.0007433,0.0010284,0.0013622,0.0017363,0.0021336,0.0025274,0.0033021,0.0031809,0.0032947,0.0039097,0.0042098,0.0043253,0.0043733,0.004258,0.0041165,0.0039187,0.0034752,0.0026548,0.0018701,0.0013832,0.0011061,0.0009091,0.0007682,0.0006618,0.0005738,0.0004823,0.0004187,0.0003771,0.0003502,0.0003022,0.0002663,0.0002436,0.0002202,0.0002129,0.0002019,0.0001835,0.0001745,0.0001419,0.0001207,0.0001095,0.0001002,9.24E-05,8.56E-05
