scenario,metric,value,low,high
S&TxV 18%,cancer_deaths,89757.95071125292,76870.83574750893,113461.17259249548
S&TxV 18%,yll,1728950.022504664,1260114.7117982616,2392996.346876704
S&TxV 18%,yld,122063.16076412803,96315.4451487615,170270.89961677257
S&TxV 18%,dalys,1851013.183268792,1356430.1569470232,2563267.246493477
S&TxV 18%,screens,7707964.148399999,6526779.25672,9378588.977039998
S&TxV 18%,ablations,33211.144700000004,30202.78092,37500.29702
S&TxV 18%,leeps,1191.4312,863.78762,2829.649099999999
S&TxV 18%,cancer_treatments,4021.0803,3187.07846,5182.72572
S&TxV 18%,vaccinations,13561316.7051,13532632.99896,13585562.33002
S&TxV 18%,txvs,2787949.0080000004,1786789.3706399999,4118837.2299599997
S&TxV 18%,excisions,0.0,0.0,0.0
S&T&T 35%,asr_cancer_incidence,853.9183878684312,744.762977200194,1115.8888694587822
S&T&T 35%,cancer_incidence,804.1992551982403,685.0836751073599,1074.7931416034698
S&T&T 35%,cancer_incidence_with_hiv,4347.8000547885895,3605.6608579874037,5096.882932448387
S&T&T 35%,cancer_incidence_no_hiv,769.9348093867302,653.7343093782663,1032.6643425822258
S&T&T 35%,cancers,94347.93896351279,78529.90328320963,131617.09149088137
S&T&T 35%,cancers_with_hiv,4494.674029966566,3897.767034578015,5643.511530732436
S&T&T 35%,cancers_no_hiv,89330.52952581401,74014.97968805823,125264.98646785042
S&T&T 35%,cancer_deaths,88261.21562842856,74410.53004095325,115763.31519955948
S&T&T 35%,yll,1701197.5494418722,1320764.2999435996,2435277.4207569314
S&T&T 35%,yld,120211.21408356656,97794.86729273769,174915.27043791435
S&T&T 35%,dalys,1821408.7635254385,1418559.1672363372,2610192.691194846
S&T&T 35%,screens,14323236.9575,12540736.73918,17468198.32458
S&T&T 35%,ablations,1880674.1492,1353078.62806,2847401.4248799994
S&T&T 35%,leeps,88910.5533,62341.63754,141065.45408
S&T&T 35%,cancer_treatments,214606.5449,165311.079,271914.38561999996
S&T&T 35%,vaccinations,13558635.9849,13539543.29992,13575584.09372
S&T&T 35%,txvs,0.0,0.0,0.0
S&T&T 35%,excisions,0.0,0.0,0.0
S&T 35%,asr_cancer_incidence,793.2704612288618,684.9078302393584,1014.5419869992536
S&T 35%,cancer_incidence,732.1541168987751,609.4717494338751,956.5436993956565
S&T 35%,cancer_incidence_with_hiv,4065.546072602272,3484.8062423229217,4821.175110960006
S&T 35%,cancer_incidence_no_hiv,696.7713602483273,578.6844401538372,914.2796125650406
S&T 35%,cancers,85203.70526242832,68217.17366079155,115081.22049662171
S&T 35%,cancers_with_hiv,4271.280686069404,3747.6467277605143,5192.256952125949
S&T 35%,cancers_no_hiv,80038.8556611121,63865.47526557235,108998.67501090383
S&T 35%,cancer_deaths,80163.95177162609,66983.14857064957,102732.03774796583
S&T 35%,yll,1453893.450515751,1048668.7170711355,2124992.915151986
S&T 35%,yld,105868.1841698525,81514.85781523361,150993.62898435502
S&T 35%,dalys,1556289.9475452679,1130183.574886369,2275986.5441363403
S&T 35%,screens,14054420.293000001,11606267.46324,17246085.76312
S&T 35%,ablations,3558804.9944,2023050.1776,5443917.224819999
S&T 35%,leeps,168140.7281,94629.42306,263336.08097999997
S&T 35%,cancer_treatments,195841.5035,142733.45776000002,261817.00619999997
S&T 35%,vaccinations,13554465.9757,13527897.05994,13563550.638600001
S&T 35%,txvs,0.0,0.0,0.0
S&T 35%,excisions,0.0,0.0,0.0
S&TxV&T&T 35%,asr_cancer_incidence,797.7036093009634,713.2952114917515,1073.9453132308859
S&TxV&T&T 35%,cancer_incidence,741.5912075936794,653.4132229924202,1021.7395372986794
S&TxV&T&T 35%,cancer_incidence_with_hiv,4307.668504834175,3658.5616330623625,4867.284052491188
S&TxV&T&T 35%,cancer_incidence_no_hiv,706.813077121973,615.6146294385195,979.6933982372284
S&TxV&T&T 35%,cancers,86795.75440471119,75008.33105134532,123580.59155854251
S&TxV&T&T 35%,cancers_with_hiv,4408.295264626649,3878.704142239823,5317.357252792507
S&TxV&T&T 35%,cancers_no_hiv,81806.64177139866,70036.79095823453,117302.94984855298
S&TxV&T&T 35%,cancer_deaths,81269.00342983883,73333.77402914112,110312.22035285896
S&TxV&T&T 35%,yll,1545591.9761662325,1187090.468111991,2273599.181510311
S&TxV&T&T 35%,yld,107939.57124320787,90214.28691378949,161799.75423288907
