scenario,sim,metric,value
HPV-Faster 18%,2,cancers_with_hiv,4330.8522325322
HPV-Faster 18%,2,dalys,1546512.827388968
HPV-Faster 18%,2,excisions,0.0
HPV-Faster 18%,2,leeps,38721.514
HPV-Faster 18%,2,screens,7079186.3326
HPV-Faster 18%,2,txvs,0.0
HPV-Faster 18%,2,vaccinations,13529892.7072
HPV-Faster 18%,2,yld,99590.31220403005
HPV-Faster 18%,2,yll,1446922.515184938
HPV-Faster 18%,3,ablations,1323084.3476
HPV-Faster 18%,3,asr_cancer_incidence,1042.9028149636163
HPV-Faster 18%,3,cancer_deaths,109269.12263187287
HPV-Faster 18%,3,cancer_incidence,1005.169219493866
HPV-Faster 18%,3,cancer_incidence_no_hiv,966.1753494739532
HPV-Faster 18%,3,cancer_incidence_with_hiv,4464.635904788971
HPV-Faster 18%,3,cancer_treatments,139993.166
HPV-Faster 18%,3,cancers,123587.1448254599
HPV-Faster 18%,3,cancers_no_hiv,117632.97653545706
HPV-Faster 18%,3,cancers_with_hiv,4953.375006192843
HPV-Faster 18%,3,dalys,2410505.275062257
HPV-Faster 18%,3,excisions,0.0
HPV-Faster 18%,3,leeps,69103.0096
HPV-Faster 18%,3,screens,8893736.0502
HPV-Faster 18%,3,txvs,0.0
HPV-Faster 18%,3,vaccinations,13548955.6064
HPV-Faster 18%,3,yld,163497.6217537394
HPV-Faster 18%,3,yll,2247007.6533085173
HPV-Faster 18%,4,ablations,805407.4912
HPV-Faster 18%,4,asr_cancer_incidence,856.0060340880532
HPV-Faster 18%,4,cancer_deaths,85434.54604314751
HPV-Faster 18%,4,cancer_incidence,775.1583681106567
HPV-Faster 18%,4,cancer_incidence_no_hiv,740.1191939115524
HPV-Faster 18%,4,cancer_incidence_with_hiv,4219.032914876938
HPV-Faster 18%,4,cancer_treatments,94420.9226
HPV-Faster 18%,4,cancers,89646.25473336337
HPV-Faster 18%,4,cancers_no_hiv,84549.91194322395
HPV-Faster 18%,4,cancers_with_hiv,4277.237860799565
HPV-Faster 18%,4,dalys,1572559.004342843
HPV-Faster 18%,4,excisions,0.0
HPV-Faster 18%,4,leeps,33955.7892
HPV-Faster 18%,4,screens,7073824.8922
HPV-Faster 18%,4,txvs,0.0
HPV-Faster 18%,4,vaccinations,13572486.3726
HPV-Faster 18%,4,yld,111810.51404120256
HPV-Faster 18%,4,yll,1460748.4903016405
HPV-Faster 18%,5,ablations,1847016.2178
HPV-Faster 18%,5,asr_cancer_incidence,1180.5520117587103
HPV-Faster 18%,5,cancer_deaths,129505.5792635027
HPV-Faster 18%,5,cancer_incidence,1162.033599615097
HPV-Faster 18%,5,cancer_incidence_no_hiv,1119.9324405193329
HPV-Faster 18%,5,cancer_incidence_with_hiv,5335.339462518692
HPV-Faster 18%,5,cancer_treatments,191522.5654
HPV-Faster 18%,5,cancers,145607.76958816854
HPV-Faster 18%,5,cancers_no_hiv,139147.24461846767
HPV-Faster 18%,5,cancers_with_hiv,5465.6904146253255
HPV-Faster 18%,5,dalys,3124370.010944071
HPV-Faster 18%,5,excisions,0.0
HPV-Faster 18%,5,leeps,86974.4776
HPV-Faster 18%,5,screens,10503061.7436
HPV-Faster 18%,5,txvs,0.0
HPV-Faster 18%,5,vaccinations,13548955.6064
HPV-Faster 18%,5,yld,192926.9518850537
HPV-Faster 18%,5,yll,2931443.0590590173
HPV-Faster 18%,6,ablations,840256.8538
HPV-Faster 18%,6,asr_cancer_incidence,770.4300083538853
HPV-Faster 18%,6,cancer_deaths,78169.79229702015
HPV-Faster 18%,6,cancer_incidence,715.8958208560944
HPV-Faster 18%,6,cancer_incidence_no_hiv,684.6648280024529
HPV-Faster 18%,6,cancer_incidence_with_hiv,3758.4566292762756
HPV-Faster 18%,6,cancer_treatments,94718.7804
HPV-Faster 18%,6,cancers,84633.30594207607
HPV-Faster 18%,6,cancers_no_hiv,80025.45188204241
HPV-Faster 18%,6,cancers_with_hiv,3976.401491742996
HPV-Faster 18%,6,dalys,1607840.1976974134
