scenario,metric,value,low,high
HPV-Faster 35%,screens,11989420.088867188,,
HPV-Faster 35%,excisions,276712.875,,
HPV-Faster 35%,leeps,476780.9662351608,,
HPV-Faster 35%,cancer_treatments,0.0,,
"Mass TxV 90/0, 70%",cancers,57954.19189453125,53555.129755401606,62092.92611923218
"Mass TxV 90/0, 70%",cancers_with_hiv,1376.1030690670013,856.3411944866184,1929.5228780269624
"Mass TxV 90/0, 70%",cancers_no_hiv,56561.70682835579,52258.55508031845,60607.50956521035
"Mass TxV 90/0, 70%",cancer_deaths,52576.372913360596,48704.22082138061,56280.830851745595
"Mass TxV 90/0, 70%",ablations,719001.871307373,,
"Mass TxV 90/0, 70%",txvs,2312734.75,,
"Mass TxV 90/0, 70%",vaccinations,0.0,,
"Mass TxV 90/0, 70%",screens,12186572.348632812,,
"Mass TxV 90/0, 70%",excisions,0.0,,
"Mass TxV 90/0, 70%",leeps,409974.4409389496,,
"Mass TxV 90/0, 70%",cancer_treatments,0.0,,
"Mass TxV 50/90, 70%",cancers,49734.80577850342,45918.35369415283,53343.35307846069
"Mass TxV 50/90, 70%",cancers_with_hiv,1142.2846913337708,680.0093728542329,1719.8309844970702
"Mass TxV 50/90, 70%",cancers_no_hiv,48565.71387672424,44825.51348710061,52111.11520166396
"Mass TxV 50/90, 70%",cancer_deaths,45202.90168380737,41608.65091400146,48850.76687164308
"Mass TxV 50/90, 70%",ablations,771925.2301635742,,
"Mass TxV 50/90, 70%",txvs,2312734.75,,
"Mass TxV 50/90, 70%",vaccinations,0.0,,
"Mass TxV 50/90, 70%",screens,12229273.307617188,,
"Mass TxV 50/90, 70%",excisions,0.0,,
"Mass TxV 50/90, 70%",leeps,455430.5187239647,,
"Mass TxV 50/90, 70%",cancer_treatments,0.0,,
HPV-Faster 70%,cancers,47019.832275390625,43431.53919677735,50720.7159034729
HPV-Faster 70%,cancers_with_hiv,1008.2486796379089,582.907729291916,1596.2199958324431
HPV-Faster 70%,cancers_no_hiv,45977.33004498482,42401.54713001251,49557.283239841454
HPV-Faster 70%,cancer_deaths,43360.65085601807,39766.99588165284,46579.60067901612
HPV-Faster 70%,ablations,1448047.5691394806,,
HPV-Faster 70%,txvs,0.0,,
HPV-Faster 70%,vaccinations,1063796.125,,
HPV-Faster 70%,screens,11702654.457763672,,
HPV-Faster 70%,excisions,552621.5,,
HPV-Faster 70%,leeps,484045.7182087898,,
HPV-Faster 70%,cancer_treatments,0.0,,
